# `#print axioms` manifest - k-Sum Lean audit, gap-closure batch 2 (2026-08-01)
# Source: build.log of the same directory (clean rebuild of KSUM + KsumAudit).
# Records: 283

KSUM.Support.embed_two_mul_M : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.embed_P_lower : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.embed_P_upper : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.embed_enc_inj : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.genEmbed : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.DonorClaim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.composition : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.composition_with_donor : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.demoDonor : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B1.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B1.composition_via_A1_inputs : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B1.holds : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B1.composition_via_A1 : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.frozen : does not depend on any axioms
KSUM.Support.append_nil : depends on axioms: [propext, Quot.sound]
KSUM.Support.frozen_eq_append : depends on axioms: [propext, Quot.sound]
KSUM.Support.Q_frozen_le : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.blockPos : depends on axioms: [propext, Quot.sound]
KSUM.Support.Coll : depends on axioms: [propext, Quot.sound]
KSUM.Support.EmbedData.q_pos : depends on axioms: [propext]
KSUM.Support.EmbedData.encodeInst : depends on axioms: [propext]
KSUM.A1a.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1a.holds : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1a.holds_base : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1a.frozen_form : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1b.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1b.holds : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1c.kSum_translate : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1c.Q_kSum_translate_le : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1c.Q_window_cover_coset : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1c.Q_window_cover : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1c.Q_le_of_coprime : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1c.not_reachable_k3_q21 : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1c.k3_q21_in_range : depends on axioms: [propext]
KSUM.A1c.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1c.ClaimAllPairs : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1c.holds : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1d.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1.composition : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1.holds : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.geom_mul_add_one : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.embed_two_mul_M : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.embed_P_lower : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.embed_P_upper : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.embed_enc_inj : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.genEmbed : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2a.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2b.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2.coprime_k_succ_of_dvd : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2.coprime_k_MvSucc : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2.coprime_k_q : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2.nsmul_surjective : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2.composition : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B1.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B1.composition_via_A1_inputs : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B1.holds : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B1.composition_via_A1 : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.DonorClaim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.demoDonor : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.composition : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.composition_with_donor : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4a.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4.B4bClaim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4.Claim : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4.composition : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.sum_append_split : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.card_append_split : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.mem_coreIdx : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.card_coreIdx : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.sum_coreIdx : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.coreVecAt_zero : depends on axioms: [propext, Quot.sound]
KsumAudit.KFloor.sum_coreIdxAt : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.core_wellformed : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.encode_cyc_eq_intCast : depends on axioms: [propext, Quot.sound]
KsumAudit.KFloor.abs_signedVal_le : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.abs_live_sum_le : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.live_sum_cast : depends on axioms: [propext, Quot.sound]
KsumAudit.KFloor.core_reduction_at : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.core_reduction : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.window_odd_length : depends on axioms: [propext, Quot.sound]
KsumAudit.KFloor.window_even_length : depends on axioms: [propext, Quot.sound]
KsumAudit.KFloor.exists_shift_into_window : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_q0_three : depends on axioms: [propext]
KsumAudit.KFloor.witness_coreUnit : does not depend on any axioms
KsumAudit.KFloor.witness_even_pos : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_even_neg : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_odd_pos : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_odd_neg : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_coreVecAt_shifted : depends on axioms: [propext, Quot.sound]
KsumAudit.KFloor.witness_even_pos_at : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_even_neg_at : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_odd_pos_at : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.KFloor.witness_odd_neg_at : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.demoEmbed : depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.demoEmbed_q : depends on axioms: [propext, Classical.choice, Quot.sound]
